Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Peak
2016/06,0.694122141,16-Jun,2016,2016,6,2016,Jun,OffPeak
2016/07,0.638052586,16-Jul,2016,2016,7,2016,Jul,OffPeak
2016/08,0.653664039,16-Aug,2016,2016,8,2016,Aug,OffPeak
2016/09,0.652036681,16-Sep,2016,2016,9,2016,Sep,OffPeak
2016/10,0.637920256,16-Oct,2016,2016,10,2016,Oct,OffPeak
2016/11,0.649110568,16-Nov,2016,2016,11,2016,Nov,OffPeak
2016/12,0.57743766,16-Dec,2016,2016,12,2016,Dec,OffPeak
2017/01,0.625374141,17-Jan,2016,2017,1,2017,Jan,OffPeak
2017/02,0.36417004,17-Feb,2016,2017,2,2017,Feb,OffPeak
2017/03,0.401440292,17-Mar,2016,2017,3,2017,Mar,PeakSnook
2017/04,0.364588634,17-Apr,2016,2017,4,2017,Apr,PeakSnook
2017/05,0.424404147,17-May,2016,2017,5,2017,May,PeakSnook
2017/06,0.462955545,17-Jun,2017,2017,6,2017,Jun,OffPeak
2017/07,0.474187144,17-Jul,2017,2017,7,2017,Jul,OffPeak
2017/08,0.436546283,17-Aug,2017,2017,8,2017,Aug,OffPeak
2017/09,0.471972528,17-Sep,2017,2017,9,2017,Sep,OffPeak
2017/10,0.647372727,17-Oct,2017,2017,10,2017,Oct,OffPeak
2017/11,0.707713042,17-Nov,2017,2017,11,2017,Nov,OffPeak
2017/12,0.666399876,17-Dec,2017,2017,12,2017,Dec,OffPeak
2018/01,0.589766812,18-Jan,2017,2018,1,2018,Jan,OffPeak
2018/02,0.531918546,18-Feb,2017,2018,2,2018,Feb,OffPeak
2018/03,0.546317025,18-Mar,2017,2018,3,2018,Mar,PeakSnook
2018/04,0.393212437,18-Apr,2017,2018,4,2018,Apr,PeakSnook
2018/05,0.398415653,18-May,2017,2018,5,2018,May,PeakSnook
2018/06,0.515155783,18-Jun,2018,2018,6,2018,Jun,OffPeak
2018/07,0.654157352,18-Jul,2018,2018,7,2018,Jul,OffPeak
2018/08,0.697104676,18-Aug,2018,2018,8,2018,Aug,OffPeak
2018/09,0.659080753,18-Sep,2018,2018,9,2018,Sep,OffPeak
2018/10,0.679174977,18-Oct,2018,2018,10,2018,Oct,OffPeak
2018/11,0.59870542,18-Nov,2018,2018,11,2018,Nov,OffPeak
2018/12,0.579268437,18-Dec,2018,2018,12,2018,Dec,OffPeak
2019/01,0.541923771,19-Jan,2018,2019,1,2019,Jan,OffPeak
2019/02,0.524987117,19-Feb,2018,2019,2,2019,Feb,OffPeak
2019/03,0.572900742,19-Mar,2018,2019,3,2019,Mar,PeakSnook
2019/04,0.488546562,19-Apr,2018,2019,4,2019,Apr,PeakSnook
2019/05,0.57385478,19-May,2018,2019,5,2019,May,PeakSnook
2019/06,0.56672696,19-Jun,2019,2019,6,2019,Jun,OffPeak
2019/07,0.60592538,19-Jul,2019,2019,7,2019,Jul,OffPeak
2019/08,0.64242663,19-Aug,2019,2019,8,2019,Aug,OffPeak
2019/09,0.626939992,19-Sep,2019,2019,9,2019,Sep,OffPeak
2019/10,0.66298553,19-Oct,2019,2019,10,2019,Oct,OffPeak
2019/11,0.646635469,19-Nov,2019,2019,11,2019,Nov,OffPeak
2019/12,0.659130677,19-Dec,2019,2019,12,2019,Dec,OffPeak
2020/01,0.600019706,20-Jan,2019,2020,1,2020,Jan,OffPeak
2020/02,0.564757918,20-Feb,2019,2020,2,2020,Feb,OffPeak
2020/03,0.564433229,20-Mar,2019,2020,3,2020,Mar,PeakSnook
2020/04,0.571574314,20-Apr,2019,2020,4,2020,Apr,PeakSnook
2020/05,0.373590386,20-May,2019,2020,5,2020,May,PeakSnook
2020/06,0.476843915,20-Jun,2020,2020,6,2020,Jun,OffPeak
2020/07,0.505902537,20-Jul,2020,2020,7,2020,Jul,OffPeak
2020/08,0.602819422,20-Aug,2020,2020,8,2020,Aug,OffPeak
2020/09,0.503079568,20-Sep,2020,2020,9,2020,Sep,OffPeak
2020/10,0.421124782,20-Oct,2020,2020,10,2020,Oct,OffPeak
2020/11,0.658432939,20-Nov,2020,2020,11,2020,Nov,OffPeak
2020/12,0.652648221,20-Dec,2020,2020,12,2020,Dec,OffPeak
2021/01,0.463903511,21-Jan,2020,2021,1,2021,Jan,OffPeak
2021/02,0.389938364,21-Feb,2020,2021,2,2021,Feb,OffPeak
2021/03,0.533764139,21-Mar,2020,2021,3,2021,Mar,PeakSnook
2021/04,0.501671311,21-Apr,2020,2021,4,2021,Apr,PeakSnook
2021/05,0.4061521,21-May,2020,2021,5,2021,May,PeakSnook
