common_name,species_name,sample_ID,Batch_ID,Type,group,season,Date,Year,Project,site,TL_cm,SL_cm,Weight_kg,d13C,d15N,d34S,N%,C%,S%,CN_molar_ratio,CS_molar_ratio,WSU_ID_CN,WSU_ID_S,WSU_ID_C,WSU_ID_N,,,
Bull shark,Carcharhinus leucas,MS 329,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.94,11.3,9.1,14.20,39.00,0.747,3.203794973,139.2342704,G-209676,S-29023,,,,,
Bull shark,Carcharhinus leucas,MS 314,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-17.87,13.43,15.52,14.73,41.69,0.896,3.302743261,124.0803571,G-209677,S-29024,,,,,
Bull shark,Carcharhinus leucas,MS 316,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.02,11.51,9.25,15.72,42.06,0.731,3.121996734,153.4482444,G-209678,S-29025,,,,,
Bull shark,Carcharhinus leucas,MS 323,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-18.02,10.97,10.29,13.80,39.92,0.881,3.374803758,120.8384412,G-209679,S-29026,,,,,
Bull shark,Carcharhinus leucas,MS 313,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-18.88,11.47,8.44,14.91,42.18,0.887,3.300963818,126.7944382,G-209680,S-29027,,,,,
Bull shark,Carcharhinus leucas,MS 327,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-19.07,12.12,11.54,17.56,50.36,0.845,3.345423143,158.9333333,G-209681,S-29028,,,,,
Bull shark,Carcharhinus leucas,MS 306,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.77,11.5,9.96,14.00,39.29,0.924,3.273932814,113.3910534,G-209682,S-29029,,,,,
Bull shark,Carcharhinus leucas,MS 315,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-24.93,11.22,9.38,12.72,39.87,1.079,3.657794029,98.53815261,G-209683,S-29030,,,,,
Bull shark,Carcharhinus leucas,MS 309dup,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.99,11.63,6.31,14.05,41.25,0.942,3.426330652,116.7841472,G-209684,S-29031,,,,,
Red drum,Sciaenops ocellatus,SRS4 RD1(m),200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-30.87,10.09,4.48,10.157,32.19,0.942,3.697450034,91.12526539,G-209721,S-29068,,,,,
Snook,Centropomus undecimalis,SRS4 SK1 (m),200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-29.59,10.19,5.75,17.138,54.43,1.216,3.705313728,119.3640351,G-209722,S-29069,,,,,
Redfin Needle Fish,Strongylura notata,TS9_NF1_d19,210526_Nelson(S)+210709_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,TS9,,,,-15.85,12.29,10.87,10.97,38.62,1.75,4.105967779,58.84842226,G-224579,S-31389,,,,,
Mangrove Snapper,Lutjanus griseus,W19-TS9-Lgr1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS9,,,,-13.95,15.91,6.89,13.62,46.91,1.09,4.01723978,114.765896,G-223721,S-30810,0,0,,,
Snook,Centropomus undecimalis,W19-RB10-Cun4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.54,12.04,14.67,5.89,18.83,1.09,3.729127863,46.07755352,G-223725,S-30812,0,0,,,
Snook,Centropomus undecimalis,W19-RB10-Cun3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-28.84,12.39,21.44,11.52,36.42,0.92,3.687777575,105.562477,G-223724,S-30815,0,0,,,
Snook,Centropomus undecimalis,W19-SRS4-Cun2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-29.99,10.75,4.46,11.15,35.53,0.96,3.716385142,98.69650794,G-223722,S-30816,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-SRS3-Msa3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-29.05,11.64,23.86,15.73,52.38,1.04,3.885627346,134.2951567,G-223735,S-30820,0,0,,,
Gar,Lepisosteus platyrhincus,W19-RB10-Lpl5,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-27.53,11.85,25.93,12.23,43.43,1.01,4.141716655,114.6606821,G-223730,S-30825,0,0,,,
Gar,Lepisosteus platyrhincus,W19-RB10-Lpl3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-27.7,11.43,18.86,12.58,42.68,0.95,3.958388265,119.7924849,G-223731,S-30826,0,0,,,
Gar,Lepisosteus platyrhincus,W19-RB10-Lpl4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.44,11.95,25.09,12.06,42.67,0.94,4.127017377,121.0409456,G-223733,S-30827,0,0,,,
Mangrove snapper,Lutjanus griseus,W19-RB10-Lgr2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.01,13.49,22,14.12,47.73,1.14,3.943918375,111.6444444,G-223740,S-30830,0,0,,,
Snook,Centropomus undecimalis,W19-SRS3-Cun3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-27.46,10.43,5.9,14.07,45.07,1.22,3.736919145,98.50891207,G-223744,S-30836,0,0,,,
Gar,Lepisosteus platyrhincus,W19-SRS3-Lpl1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.38,11.83,25.38,12.74,46.03,1.12,4.215363515,109.5975397,G-223749,S-30838,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-SRS3-Msa1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-28.44,12.14,23.21,15.46,50.32284,1.09,3.796803984,123.1139817,G-223753,S-30842,0,0,,,
Snook,Centropomus undecimalis,W19-SRS3-Cun2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.97,11.35,15.78,17.34,55.18320909,1.08,3.713488389,136.2548373,G-223754,S-30843,0,0,,,
Redfish,Sciaenops ocellatus,W19-RB10-Soc1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-31.7,12.69,7.83,15.06,48.97535455,0.85,3.794063976,153.6481711,G-223757,S-30846,0,0,,,
Snook,Centropomus undecimalis,W19-SRS3-Cun1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-27.8,9.24,0.49,15.15,48.0884,1.07,3.704399692,119.8464798,G-223758,S-30847,0,0,,,
Gar,Lepisosteus platyrhincus,W19-RB10-Lpl1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.14,12.42,24.13,13.51,50.297075,0.97,4.34263984,138.2737457,G-223760,S-30849,0,0,,,
Gar,Lepisosteus platyrhincus,W19-RB10-Lpl2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-27.86,11.54,22.1,12.44,42.77061818,0.97,4.011295274,117.5824555,G-223761,S-30850,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-RB10-Msa1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.94,13.05,22.61,11.49,37.81638889,1.04,3.840155545,96.96509972,G-223762,S-30851,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-RB10-Msa4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-27.98,12.25,18.12,15.82,55.33443333,0.97,4.080595784,152.1221535,G-223763,S-30852,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-RB10-Msa3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.31,11.91,22.92,14.97,49.19473333,1.06,3.833128274,123.7603354,G-223764,S-30853,0,0,,,
Snook,Centropomus undecimalis,W19-RB10-Cun1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.8,12.60,21.6,15.21,49.1817125,1.14,3.772120278,115.0449415,G-223774,S-30863,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-RB10-Msa2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.85,12.57,23.2,14.41,51.37291,1.04,4.158633773,131.7254103,G-223775,S-30864,0,0,,,
Snook,Centropomus undecimalis,W19-RB10-Cun2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-28.55,9.59,8.55,15.19,48.71888889,1.26,3.741193363,103.1087596,G-223777,S-30866,0,0,,,
Redfish,Sciaenops ocellatus,W19-RB10-Soc2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.84,12.75,21.23,15.61,51.4663375,0.770,3.845958169,178.2383983,G-223779,S-30868,0,0,,,
Snook,Centropomus undecimalis,W19-SRS4-Cun4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-28.62,11.56,4.62,13.53,45.30837273,1.100,3.907696676,109.8384793,G-223782,S-30871,0,0,,,
Bowfin,Amia calva,W19-RB10-Aca3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.16,11.26,24.54,12.45,44.36890909,0.920,4.159004586,128.6055336,G-223786,S-30875,0,0,,,
Snook,Centropomus undecimalis,W19-SRS4-Cun3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-30.14,11.01,5.12,13.82,46.388025,1.080,3.91488444,114.5383333,G-223790,S-30879,0,0,,,
School Master Snapper,Lutjanus apodus,W19-TS11-Lap1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS11,,,,-13.94,8.95,11.81,15.75,50.20119091,1.430,3.71925076,93.61527442,G-223791,S-30880,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-SRS4-Lgr2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-31.07,12.07,3.35,13.67,44.91525833,1.000,3.833621601,119.7740222,G-223797,S-30886,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS9-Lgr3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS9,,,,-11.62,13.90,8.72,12.75,45.19160909,1.030,4.136182628,117.0009297,G-223798,S-30887,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-TS3-Msa3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-26.58,10.76,15.05,13.49,44.149225,1.060,3.816967308,111.0672327,G-223806,S-30895,0,0,,,
Snook,Centropomus undecimalis,W19-RB10-Cun5,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-29.41,11.71,13.35,12.34,39.9451,1.130,3.777569575,94.26572271,G-223812,S-30901,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-TS3-Msa5,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-28.16,11.21,14.69,14.09,45.94977273,1.210,3.805572945,101.2667168,G-223815,S-30904,0,0,,,
Gar,Lepisosteus platyrhincus,W19-TS3-Lpl1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-23.03,12.48,22.83,14.79,48.70521111,0.900,3.842201595,144.3117366,G-223822,S-30911,0,0,,,
School Master Snapper,Lutjanus apodus,W19-TS11-Lap2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS11,,,,-14.03,8.45,11.21,13.22,43.5598,1.910,3.842762587,60.81647469,G-223824,S-30913,0,0,,,
Bowfin,Amia calva,W19-SRS3-Aca2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-28.87,12.20,22.45,13.93,51.37952222,1.230,4.30197588,111.3919181,G-223830,S-30919,0,0,,,
Gar,Lepisosteus platyrhincus,W19-SRS3-Lpl3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-29.56,12.01,23.99,13.36,46.5735,1.290,4.067859105,96.27596899,G-223842,S-30931,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-SRS3-Msa2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-29.32,12.01,22.76,14.91,48.12513,1.400,3.765558603,91.66691429,G-223843,S-30932,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS10-Lgr2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-7.28,12.43,3.95,14.80,47.638025,1.500,3.755503469,84.68982222,G-223844,S-30933,0,0,,,
Redfin Needle Fish,Strongylura notata,W19-TS10-Sno2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-11.09,11.30,2.59,10.98,34.80316364,1.890,3.699193307,49.10499279,G-223848,S-30937,0,0,,,
Walking Catfish,Clarias batrachus,W19-SRS3-Cba3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.2,9.69,21.75,15.15,48.78197273,1.320,3.756317077,98.54943986,G-223850,S-30939,0,0,,,
Snook,Centropomus undecimalis,W19-SRS3-Cun4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-31.46,11.40,9.01,16.12,52.00795455,1.320,3.764101474,105.0665748,G-223851,S-30940,0,0,,,
Gar,Lepisosteus platyrhincus,W19-SRS3-Lpl4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.61,12.87,22.66,13.54,51.26309,1.320,4.417121252,103.561798,G-223853,S-30942,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS7-Lgr3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS7,,,,-14.53,14.30,6.27,16.80,54.36245833,1.140,3.775470357,127.1636452,G-223859,S-30948,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-TS3-Msa2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-21.32,11.11,16.24,14.43,46.06349167,1.170,3.725226632,104.9880152,G-223860,S-30949,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-TS3-Msa4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-27.03,10.60,15.15,13.03,43.07614546,1.020,3.856853552,112.6173738,G-223861,S-30950,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-SRS4-Lgr5,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-29.63,11.36,7.07,13.57,43.58041667,1.440,3.746919153,80.70447531,G-223862,S-30951,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS7-Lgr1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS7,,,,-13.64,13.29,6.92,14.08,44.41250909,1.610,3.679016107,73.56109166,G-223863,S-30952,0,0,,,
Largemouth Bass,Micropterus salmoides,W19-TS3-Msa1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-22.33,10.46,24.01,12.73,42.73394167,1.110,3.917208036,102.6641241,G-223868,S-30957,0,0,,,
Bowfin,Amia calva,W19-SRS3-Aca1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-28.3,11.29,24.48,15.62,53.97045833,1.050,4.030955137,137.0678307,G-223873,S-30962,0,0,,,
Gar,Lepisosteus platyrhincus,W19-TS3-Lpl2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-27,11.44,16.33,14.67,48.71827273,1.060,3.873188497,122.5616924,G-223876,S-30965,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-SRS4-Lgr3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-30.56,10.03,10.67,9.6076,32.47012,0.92,3.942900065,94.11628986,G-223879,S-30968,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS7-Lgr2,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS7,,,,-15.06,14.25,5.72,12.88616667,40.83600833,1.26,3.697143684,86.42541446,G-223880,S-30969,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS7-Lgr4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS7,,,,-14.54,13.93,6.48,15.03133333,47.53798333,1.46,3.689691349,86.82736681,G-223885,S-30974,0,0,,,
Snook,Centropomus undecimalis,W19-SRS3-Cun5,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-24.34,9.7,6.48,14.44283333,46.39383333,1.10,3.747612234,112.469899,G-223887,S-30976,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS10-Lgr3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-7.87,11.64,6.29,16.1736,51.61246,1.39,3.723013841,99.01670983,G-223889,S-30978,0,0,,,
Bowfin,Amia calva,W19-SRS3-Aca3,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.18,12.36,25.11,21.32727273,95.9584,0.74,5.249216254,345.796036,G-223897,S-30986,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS10-Lgr1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-7.85,11.76,5.81,15.73672727,49.39578182,1.36,3.662032844,96.85447416,G-223900,S-30989,0,0,,,
Gar,Lepisosteus platyrhincus,W19-TS3-Lpl1-rep,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,,,16.43,,,1.09,#N/A,#N/A,#N/A,S-30990,,,,,
Redfish,Sciaenops ocellatus,W19-SRS4-Soc1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-30.98,10.78,4.55,13.61883333,42.27626667,1.01,3.621625283,111.6205061,G-223903,S-30992,0,0,,,
Redfin Needle Fish,Strongylura notata,W19-TS10-Sno1,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-9.04,10.94,4.76,14.76517647,45.61148235,1.46,3.603979687,83.30864356,G-223905,S-30994,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-SRS4-Lgr4,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-30.12,10.87,8.82,13.70583333,43.75586667,1.30,3.724582803,89.75562394,G-223907,S-30996,0,0,,,
Gar,Lepisosteus platyrhincus,W19-TS3-Lpl2-rep,210521_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,,,18.76,,,1.05,#N/A,#N/A,#N/A,S-30998,,,,,
Snook,Centropomus undecimalis,W19-SRS4-Cun1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-26.22,10.16,7.93,14.18377778,45.41475556,0.95,3.735526762,127.4800156,G-224170,S-31155,0,0,,,
Walking Catfish,Clarias batrachus,W19-SRS3-Cba1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.43,9.02,20.36,15.60527273,49.93992727,0.90,3.733561694,147.9701549,G-224171,S-31156,0,0,,,
Walking Catfish,Clarias batrachus,W19-SRS3-Cba2,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-30.69,8.77,20.83,16.2768,52.08992,0.85,3.733631508,163.4193569,G-224172,S-31157,0,0,,,
Gar,Lepisosteus platyrhincus,W19-SRS3-Lpl2,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS3,,,,-29.71,11.92,23.41,13.97383333,46.24386667,1.00,3.86087171,123.3169778,G-224173,S-31158,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-SRS4-Lgr1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-31.1,12,3.35,15.072,49.928,1.00,3.864738146,133.1413333,G-224179,S-31164,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS7-Lgr5,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS7,,,,-15.43,13.98,5.02,13.73866667,42.14506667,1.38,3.578894927,81.43974236,G-224180,S-31165,0,0,,,
Barracuda,Sphyraena barracuda,W19-TS10-Sba1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS10,,,,-12.37,10.53,-0.94,15.08783333,47.22306667,1.25,3.651523488,100.7425422,G-224187,S-31172,0,0,,,
Redfish,Sciaenops ocellatus,W19-SRS4-Soc2,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,SRS4,,,,-30.96,10.99,2.9,14.99266667,48.38595556,0.95,3.765192859,135.8202261,G-224190,S-31175,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-TS9-Lgr2,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS9,,,,-11.34,13.95,3.95,14.96175,51.1198,0.96,3.986149125,141.9994444,G-224191,S-31176,0,0,,,
Mangrove Snapper,Lutjanus griseus,W19-RB-Lgr1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.4,12.04,8.66,15.51422222,49.52088889,1.10,3.723961766,120.0506397,G-224206,S-31191,0,0,,,
Bowfin,Amia calva,W19-RB10-Aca1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-31.35,11.2,25.04,10.6426,53.46689,0.74,5.861165348,192.6734775,G-224239,S-31224,0,0,,,
Bowfin,Amia calva,W19-RB10-Aca2,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-31.22,10.9,24.28,9.666461539,53.52386923,0.60,6.459914401,237.8838632,G-224240,S-31225,0,0,,,
Redfish,Sciaenops ocellatus,W19-RB10-Soc3,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,RB10,,,,-30.98,13.63,16.8,13.5442,43.58604,1.06,3.754402623,109.6504151,G-224297,S-31282,,,,,
Gar,Lepisosteus platyrhincus,W19-TS3-Lpl1,210526_Rezek(S),,Predator,wet19,,2019,FCE Foodwebs,TS3,,,,-23.03,12.48,22.08,14.78911111,48.70521111,1.07,3.842201595,121.3837037,G-223822,S-31300,,,,,
