year,ID,source,mean
2014,ID 47,Estuarine,0.053
2014,ID 47,Freshwater,0.925
2014,ID 47,Seagrass,0.022
2014,ID 48,Estuarine,0.014
2014,ID 48,Freshwater,0.981
2014,ID 48,Seagrass,0.005
2014,ID 49,Estuarine,0.084
2014,ID 49,Freshwater,0.876
2014,ID 49,Seagrass,0.039
2014,ID 50,Estuarine,0.02
2014,ID 50,Freshwater,0.97
2014,ID 50,Seagrass,0.009
2014,ID 51,Estuarine,0.781
2014,ID 51,Freshwater,0.194
2014,ID 51,Seagrass,0.026
2014,ID 52,Estuarine,0.271
2014,ID 52,Freshwater,0.677
2014,ID 52,Seagrass,0.053
2016,ID 53,Estuarine,0.02
2016,ID 53,Freshwater,0.977
2016,ID 53,Seagrass,0.003
2016,ID 54,Estuarine,0.013
2016,ID 54,Freshwater,0.985
2016,ID 54,Seagrass,0.002
2016,ID 55,Estuarine,0.035
2016,ID 55,Freshwater,0.952
2016,ID 55,Seagrass,0.013
2016,ID 56,Estuarine,0.893
2016,ID 56,Freshwater,0.094
2016,ID 56,Seagrass,0.013
2016,ID 57,Estuarine,0.014
2016,ID 57,Freshwater,0.983
2016,ID 57,Seagrass,0.003
2016,ID 58,Estuarine,0.031
2016,ID 58,Freshwater,0.961
2016,ID 58,Seagrass,0.008
2016,ID 59,Estuarine,0.024
2016,ID 59,Freshwater,0.972
2016,ID 59,Seagrass,0.004
2016,ID 60,Estuarine,0.025
2016,ID 60,Freshwater,0.97
2016,ID 60,Seagrass,0.005
2016,ID 61,Estuarine,0.071
2016,ID 61,Freshwater,0.921
2016,ID 61,Seagrass,0.008
2016,ID 62,Estuarine,0.092
2016,ID 62,Freshwater,0.9
2016,ID 62,Seagrass,0.008
2016,ID 63,Estuarine,0.037
2016,ID 63,Freshwater,0.955
2016,ID 63,Seagrass,0.008
2017,ID 64,Estuarine,0.049
2017,ID 64,Freshwater,0.943
2017,ID 64,Seagrass,0.008
2017,ID 65,Estuarine,0.035
2017,ID 65,Freshwater,0.961
2017,ID 65,Seagrass,0.004
2017,ID 66,Estuarine,0.021
2017,ID 66,Freshwater,0.975
2017,ID 66,Seagrass,0.003
2017,ID 67,Estuarine,0.914
2017,ID 67,Freshwater,0.079
2017,ID 67,Seagrass,0.007
2017,ID 68,Estuarine,0.869
2017,ID 68,Freshwater,0.124
2017,ID 68,Seagrass,0.007
2017,ID 69,Estuarine,0.788
2017,ID 69,Freshwater,0.116
2017,ID 69,Seagrass,0.097
2017,ID 70,Estuarine,0.034
2017,ID 70,Freshwater,0.954
2017,ID 70,Seagrass,0.013
2017,ID 71,Estuarine,0.017
2017,ID 71,Freshwater,0.98
2017,ID 71,Seagrass,0.003
2017,ID 72,Estuarine,0.015
2017,ID 72,Freshwater,0.982
2017,ID 72,Seagrass,0.003
2017,ID 73,Estuarine,0.032
2017,ID 73,Freshwater,0.963
2017,ID 73,Seagrass,0.005
2017,ID 74,Estuarine,0.021
2017,ID 74,Freshwater,0.972
2017,ID 74,Seagrass,0.007
2017,ID 75,Estuarine,0.898
2017,ID 75,Freshwater,0.093
2017,ID 75,Seagrass,0.01
2017,ID 76,Estuarine,0.395
2017,ID 76,Freshwater,0.586
2017,ID 76,Seagrass,0.019
2017,ID 77,Estuarine,0.014
2017,ID 77,Freshwater,0.983
2017,ID 77,Seagrass,0.003
2017,ID 78,Estuarine,0.049
2017,ID 78,Freshwater,0.944
2017,ID 78,Seagrass,0.007
2017,ID 79,Estuarine,0.031
2017,ID 79,Freshwater,0.962
2017,ID 79,Seagrass,0.008
2017,ID 80,Estuarine,0.059
2017,ID 80,Freshwater,0.928
2017,ID 80,Seagrass,0.013
2018,ID 81,Estuarine,0.031
2018,ID 81,Freshwater,0.959
2018,ID 81,Seagrass,0.01
2018,ID 82,Estuarine,0.342
2018,ID 82,Freshwater,0.59
2018,ID 82,Seagrass,0.069
2018,ID 83,Estuarine,0.033
2018,ID 83,Freshwater,0.957
2018,ID 83,Seagrass,0.009
2018,ID 84,Estuarine,0.586
2018,ID 84,Freshwater,0.391
2018,ID 84,Seagrass,0.024
2018,ID 85,Estuarine,0.048
2018,ID 85,Freshwater,0.942
2018,ID 85,Seagrass,0.01
2018,ID 86,Estuarine,0.403
2018,ID 86,Freshwater,0.581
2018,ID 86,Seagrass,0.017
2018,ID 87,Estuarine,0.048
2018,ID 87,Freshwater,0.945
2018,ID 87,Seagrass,0.007
2018,ID 88,Estuarine,0.11
2018,ID 88,Freshwater,0.881
2018,ID 88,Seagrass,0.009
2018,ID 89,Estuarine,0.138
2018,ID 89,Freshwater,0.819
2018,ID 89,Seagrass,0.042
2018,ID 90,Estuarine,0.029
2018,ID 90,Freshwater,0.966
2018,ID 90,Seagrass,0.005
2019,ID 91,Estuarine,0.071
2019,ID 91,Freshwater,0.919
2019,ID 91,Seagrass,0.011
2019,ID 92,Estuarine,0.076
2019,ID 92,Freshwater,0.915
2019,ID 92,Seagrass,0.009
2019,ID 93,Estuarine,0.038
2019,ID 93,Freshwater,0.955
2019,ID 93,Seagrass,0.006
2019,ID 94,Estuarine,0.042
2019,ID 94,Freshwater,0.952
2019,ID 94,Seagrass,0.005
2019,ID 95,Estuarine,0.809
2019,ID 95,Freshwater,0.182
2019,ID 95,Seagrass,0.01
2019,ID 96,Estuarine,0.085
2019,ID 96,Freshwater,0.875
2019,ID 96,Seagrass,0.04
2019,ID 97,Estuarine,0.04
2019,ID 97,Freshwater,0.954
2019,ID 97,Seagrass,0.005
2019,ID 98,Estuarine,0.084
2019,ID 98,Freshwater,0.902
2019,ID 98,Seagrass,0.014
2020,ID 99,Estuarine,0.626
2020,ID 99,Freshwater,0.07
2020,ID 99,Seagrass,0.304
2020,ID 100,Estuarine,0.95
2020,ID 100,Freshwater,0.043
2020,ID 100,Seagrass,0.007
2020,ID 101,Estuarine,0.294
2020,ID 101,Freshwater,0.205
2020,ID 101,Seagrass,0.502
2020,ID 102,Estuarine,0.08
2020,ID 102,Freshwater,0.898
2020,ID 102,Seagrass,0.022
2021,ID 103,Estuarine,0.029
2021,ID 103,Freshwater,0.938
2021,ID 103,Seagrass,0.033
2021,ID 104,Estuarine,0.012
2021,ID 104,Freshwater,0.984
2021,ID 104,Seagrass,0.004
2021,ID 105,Estuarine,0.02
2021,ID 105,Freshwater,0.958
2021,ID 105,Seagrass,0.022
2021,ID 106,Estuarine,0.032
2021,ID 106,Freshwater,0.959
2021,ID 106,Seagrass,0.009
2022,ID 107,Estuarine,0.029
2022,ID 107,Freshwater,0.958
2022,ID 107,Seagrass,0.012
2022,ID 108,Estuarine,0.429
2022,ID 108,Freshwater,0.5
2022,ID 108,Seagrass,0.071
2022,ID 109,Estuarine,0.502
2022,ID 109,Freshwater,0.477
2022,ID 109,Seagrass,0.021
2022,ID 110,Estuarine,0.086
2022,ID 110,Freshwater,0.896
2022,ID 110,Seagrass,0.017
2022,ID 111,Estuarine,0.018
2022,ID 111,Freshwater,0.974
2022,ID 111,Seagrass,0.009
2022,ID 112,Estuarine,0.071
2022,ID 112,Freshwater,0.897
2022,ID 112,Seagrass,0.031
2022,ID 113,Estuarine,0.031
2022,ID 113,Freshwater,0.845
2022,ID 113,Seagrass,0.125
