,Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Season
34,2014/11,0.561231571,Nov-14,2014,2014,11,2014,Nov,Dry
35,2014/12,0.536545019,Dec-14,2014,2014,12,2014,Dec,Dry
36,2015/01,0.265578008,Jan-15,2014,2015,01,2015,Jan,Dry
37,2015/02,0.341950909,Feb-15,2014,2015,02,2015,Feb,Dry
38,2015/03,0.359743122,Mar-15,2014,2015,03,2015,Mar,Dry
39,2015/04,0.426395247,Apr-15,2014,2015,04,2015,Apr,Dry
40,2015/05,0.500430143,May-15,2014,2015,05,2015,May,Dry
41,2015/06,0.469064335,Jun-15,2015,2015,06,2015,Jun,Wet
42,2015/07,0.531400938,Jul-15,2015,2015,07,2015,Jul,Wet
43,2015/08,0.577410522,Aug-15,2015,2015,08,2015,Aug,Wet
44,2015/09,0.761294331,Sep-15,2015,2015,09,2015,Sep,Wet
45,2015/10,0.67209444,Oct-15,2015,2015,10,2015,Oct,Wet
46,2015/11,0.713025739,Nov-15,2015,2015,11,2015,Nov,Dry
47,2015/12,0.730395004,Dec-15,2015,2015,12,2015,Dec,Dry
48,2016/01,0.717784884,Jan-16,2015,2016,01,2016,Jan,Dry
49,2016/02,0.586562859,Feb-16,2015,2016,02,2016,Feb,Dry
50,2016/03,0.586979355,Mar-16,2015,2016,03,2016,Mar,Dry
51,2016/04,0.473745716,Apr-16,2015,2016,04,2016,Apr,Dry
52,2016/05,0.592244256,May-16,2015,2016,05,2016,May,Dry
53,2016/06,0.694044634,Jun-16,2016,2016,06,2016,Jun,Wet
54,2016/07,0.637378205,Jul-16,2016,2016,07,2016,Jul,Wet
55,2016/08,0.653043101,Aug-16,2016,2016,08,2016,Aug,Wet
56,2016/09,0.652521363,Sep-16,2016,2016,09,2016,Sep,Wet
57,2016/10,0.63738042,Oct-16,2016,2016,10,2016,Oct,Wet
58,2016/11,0.648781848,Nov-16,2016,2016,11,2016,Nov,Dry
59,2016/12,0.577036999,Dec-16,2016,2016,12,2016,Dec,Dry
60,2017/01,0.625489043,Jan-17,2016,2017,01,2017,Jan,Dry
61,2017/02,0.363735328,Feb-17,2016,2017,02,2017,Feb,Dry
62,2017/03,0.400457476,Mar-17,2016,2017,03,2017,Mar,Dry
63,2017/04,0.364682485,Apr-17,2016,2017,04,2017,Apr,Dry
64,2017/05,0.422954196,May-17,2016,2017,05,2017,May,Dry
65,2017/06,0.463014083,Jun-17,2017,2017,06,2017,Jun,Wet
66,2017/07,0.472997318,Jul-17,2017,2017,07,2017,Jul,Wet
67,2017/08,0.440417045,Aug-17,2017,2017,08,2017,Aug,Wet
68,2017/09,0.470702929,Sep-17,2017,2017,09,2017,Sep,Wet
69,2017/10,0.646950841,Oct-17,2017,2017,10,2017,Oct,Wet
70,2017/11,0.70751987,Nov-17,2017,2017,11,2017,Nov,Dry
71,2017/12,0.666295769,Dec-17,2017,2017,12,2017,Dec,Dry
72,2018/01,0.590414523,Jan-18,2017,2018,01,2018,Jan,Dry
73,2018/02,0.531162624,Feb-18,2017,2018,02,2018,Feb,Dry
74,2018/03,0.545358074,Mar-18,2017,2018,03,2018,Mar,Dry
75,2018/04,0.393147684,Apr-18,2017,2018,04,2018,Apr,Dry
76,2018/05,0.399243478,May-18,2017,2018,05,2018,May,Dry
77,2018/06,0.514529545,Jun-18,2018,2018,06,2018,Jun,Wet
78,2018/07,0.655076063,Jul-18,2018,2018,07,2018,Jul,Wet
79,2018/08,0.696664374,Aug-18,2018,2018,08,2018,Aug,Wet
80,2018/09,0.657548105,Sep-18,2018,2018,09,2018,Sep,Wet
81,2018/10,0.679125736,Oct-18,2018,2018,10,2018,Oct,Wet
82,2018/11,0.598904141,Nov-18,2018,2018,11,2018,Nov,Dry
83,2018/12,0.580005589,Dec-18,2018,2018,12,2018,Dec,Dry
84,2019/01,0.542059452,Jan-19,2018,2019,01,2019,Jan,Dry
85,2019/02,0.525216526,Feb-19,2018,2019,02,2019,Feb,Dry
86,2019/03,0.57233148,Mar-19,2018,2019,03,2019,Mar,Dry
87,2019/04,0.488931916,Apr-19,2018,2019,04,2019,Apr,Dry
88,2019/05,0.574304848,May-19,2018,2019,05,2019,May,Dry
89,2019/06,0.567028776,Jun-19,2019,2019,06,2019,Jun,Wet
90,2019/07,0.605910042,Jul-19,2019,2019,07,2019,Jul,Wet
91,2019/08,0.641642113,Aug-19,2019,2019,08,2019,Aug,Wet
92,2019/09,0.626570896,Sep-19,2019,2019,09,2019,Sep,Wet
93,2019/10,0.663281432,Oct-19,2019,2019,10,2019,Oct,Wet
94,2019/11,0.64600857,Nov-19,2019,2019,11,2019,Nov,Dry
95,2019/12,0.659285051,Dec-19,2019,2019,12,2019,Dec,Dry
96,2020/01,0.599434727,Jan-20,2019,2020,01,2020,Jan,Dry
97,2020/02,0.563610887,Feb-20,2019,2020,02,2020,Feb,Dry
98,2020/03,0.564274307,Mar-20,2019,2020,03,2020,Mar,Dry
99,2020/04,0.571149339,Apr-20,2019,2020,04,2020,Apr,Dry
100,2020/05,0.373160161,May-20,2019,2020,05,2020,May,Dry
101,2020/06,0.47706141,Jun-20,2020,2020,06,2020,Jun,Wet
102,2020/07,0.501079075,Jul-20,2020,2020,07,2020,Jul,Wet
103,2020/08,0.600203659,Aug-20,2020,2020,08,2020,Aug,Wet
104,2020/09,0.501457893,Sep-20,2020,2020,09,2020,Sep,Wet
105,2020/10,0.4224804,Oct-20,2020,2020,10,2020,Oct,Wet
106,2020/11,0.65890231,Nov-20,2020,2020,11,2020,Nov,Dry
107,2020/12,0.618067057,Dec-20,2020,2020,12,2020,Dec,Dry
108,2021/01,0.406661531,Jan-21,2020,2021,01,2021,Jan,Dry
109,2021/02,0.447499249,Feb-21,2020,2021,02,2021,Feb,Dry
110,2021/03,0.482471051,Mar-21,2020,2021,03,2021,Mar,Dry
111,2021/04,0.502285047,Apr-21,2020,2021,04,2021,Apr,Dry
112,2021/05,0.405794799,May-21,2020,2021,05,2021,May,Dry
113,2021/06,0.462306986,Jun-21,2021,2021,06,2021,Jun,Wet
114,2021/07,0.608418338,Jul-21,2021,2021,07,2021,Jul,Wet
115,2021/08,0.719068903,Aug-21,2021,2021,08,2021,Aug,Wet
116,2021/09,0.795835002,Sep-21,2021,2021,09,2021,Sep,Wet
117,2021/10,0.660632034,Oct-21,2021,2021,10,2021,Oct,Wet
118,2021/11,0.726516092,Nov-21,2021,2021,11,2021,Nov,Dry
119,2021/12,0.617874361,Dec-21,2021,2021,12,2021,Dec,Dry
120,2022/01,0.592094315,Jan-22,2021,2022,01,NA,Jan,Dry
121,2022/02,0.548311818,Feb-22,2021,2022,02,NA,Feb,Dry
122,2022/03,0.559035996,Mar-22,2021,2022,03,NA,Mar,Dry
123,2022/04,0.612961316,Apr-22,2021,2022,04,NA,Apr,Dry
124,2022/05,0.645735464,May-22,2021,2022,05,NA,May,Dry
125,2022/06,0.645900187,Jun-22,2022,2022,06,NA,Jun,Wet
126,2022/07,0.710257905,Jul-22,2022,2022,07,NA,Jul,Wet
127,2022/08,0.706564502,Aug-22,2022,2022,08,NA,Aug,Wet
128,2022/09,0.692323778,Sep-22,2022,2022,09,NA,Sep,Wet
129,2022/10,0.506011206,Oct-22,2022,2022,10,NA,Oct,Wet
130,2022/11,0.685256265,Nov-22,2022,2022,11,NA,Nov,Dry
131,2022/12,0.627273497,Dec-22,2022,2022,12,NA,Dec,Dry
132,2023/01,0.620524953,Jan-23,2022,2023,01,NA,Jan,Dry
133,2023/02,0.701948443,Feb-23,2022,2023,02,NA,Feb,Dry
134,2023/03,0.725766815,Mar-23,2022,2023,03,NA,Mar,Dry
135,2023/04,0.6149643,Apr-23,2022,2023,04,NA,Apr,Dry
136,2023/05,0.690027491,May-23,2022,2023,05,NA,May,Dry
137,2023/06,0.714670063,Jun-23,2023,2023,06,NA,Jun,Wet
138,2023/07,0.417346317,Jul-23,2023,2023,07,NA,Jul,Wet
