Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Season
2019/11,0.64600857,19-Nov,2019,2019,11,2019,Nov,Dry
2019/12,0.659285051,19-Dec,2019,2019,12,2019,Dec,Dry
2020/01,0.599434727,20-Jan,2019,2020,01,2020,Jan,Dry
2020/02,0.563610887,20-Feb,2019,2020,02,2020,Feb,Dry
2020/03,0.564274307,20-Mar,2019,2020,03,2020,Mar,Dry
2020/04,0.571149339,20-Apr,2019,2020,04,2020,Apr,Dry
2020/05,0.373160161,20-May,2019,2020,05,2020,May,Dry
2020/06,0.47706141,20-Jun,2020,2020,06,2020,Jun,Wet
2020/07,0.501079075,20-Jul,2020,2020,07,2020,Jul,Wet
2020/08,0.600203659,20-Aug,2020,2020,08,2020,Aug,Wet
2020/09,0.501457893,20-Sep,2020,2020,09,2020,Sep,Wet
2020/10,0.4224804,20-Oct,2020,2020,10,2020,Oct,Wet
2020/11,0.65890231,20-Nov,2020,2020,11,2020,Nov,Dry
2020/12,0.618067057,20-Dec,2020,2020,12,2020,Dec,Dry
2021/01,0.406661531,21-Jan,2020,2021,01,2021,Jan,Dry
2021/02,0.447499249,21-Feb,2020,2021,02,2021,Feb,Dry
2021/03,0.482471051,21-Mar,2020,2021,03,2021,Mar,Dry
2021/04,0.502285047,21-Apr,2020,2021,04,2021,Apr,Dry
2021/05,0.405794799,21-May,2020,2021,05,2021,May,Dry
2021/06,0.462306986,21-Jun,2021,2021,06,2021,Jun,Wet
2021/07,0.608418338,21-Jul,2021,2021,07,2021,Jul,Wet
2021/08,0.719068903,21-Aug,2021,2021,08,2021,Aug,Wet
2021/09,0.795835002,21-Sep,2021,2021,09,2021,Sep,Wet
2021/10,0.660632034,21-Oct,2021,2021,10,2021,Oct,Wet
2021/11,0.726516092,21-Nov,2021,2021,11,2021,Nov,Dry
2021/12,0.617874361,21-Dec,2021,2021,12,2021,Dec,Dry
2022/01,0.592094315,22-Jan,2021,2022,01,NA,Jan,Dry
2022/02,0.548311818,22-Feb,2021,2022,02,NA,Feb,Dry
2022/03,0.559035996,22-Mar,2021,2022,03,NA,Mar,Dry
2022/04,0.612961316,22-Apr,2021,2022,04,NA,Apr,Dry
2022/05,0.645735464,22-May,2021,2022,05,NA,May,Dry
2022/06,0.645900187,22-Jun,2022,2022,06,NA,Jun,Wet
2022/07,0.710257905,22-Jul,2022,2022,07,NA,Jul,Wet
2022/08,0.706564502,22-Aug,2022,2022,08,NA,Aug,Wet
2022/09,0.692323778,22-Sep,2022,2022,09,NA,Sep,Wet
2022/10,0.506011206,22-Oct,2022,2022,10,NA,Oct,Wet
2022/11,0.685256265,22-Nov,2022,2022,11,NA,Nov,Dry
2022/12,0.627273497,22-Dec,2022,2022,12,NA,Dec,Dry
2023/01,0.620524953,23-Jan,2022,2023,01,NA,Jan,Dry
2023/02,0.701948443,23-Feb,2022,2023,02,NA,Feb,Dry
2023/03,0.725766815,23-Mar,2022,2023,03,NA,Mar,Dry
2023/04,0.6149643,23-Apr,2022,2023,04,NA,Apr,Dry
2023/05,0.690027491,23-May,2022,2023,05,NA,May,Dry
