"","Year.Month","Eadj","fYear.Month","Year","Month","fYear","fMonth","Season"
"31","2014/08",0.633658838201904,Aug 2014,2014,"08","2014","Aug","Wet"
"32","2014/09",0.514684981133902,Sep 2014,2014,"09","2014","Sep","Wet"
"33","2014/10",0.647898236813401,Oct 2014,2014,"10","2014","Oct","Wet"
"34","2014/11",0.562032350848825,Nov 2014,2014,"11","2014","Nov","Dry"
"35","2014/12",0.536801302653664,Dec 2014,2014,"12","2014","Dec","Dry"
"36","2015/01",0.262044360965372,Jan 2015,2015,"01","2015","Jan","Dry"
"37","2015/02",0.343089159862367,Feb 2015,2015,"02","2015","Feb","Dry"
"38","2015/03",0.347591833732906,Mar 2015,2015,"03","2015","Mar","Dry"
"39","2015/04",0.39119048429133,Apr 2015,2015,"04","2015","Apr","Dry"
"40","2015/05",0.498011720932818,May 2015,2015,"05","2015","May","Dry"
"41","2015/06",0.476349862088167,Jun 2015,2015,"06","2015","Jun","Wet"
"42","2015/07",0.519265396578642,Jul 2015,2015,"07","2015","Jul","Wet"
"43","2015/08",0.576446059364838,Aug 2015,2015,"08","2015","Aug","Wet"
"44","2015/09",0.761753596781131,Sep 2015,2015,"09","2015","Sep","Wet"
"45","2015/10",0.673956257690406,Oct 2015,2015,"10","2015","Oct","Wet"
"46","2015/11",0.713855975223488,Nov 2015,2015,"11","2015","Nov","Dry"
"47","2015/12",0.730525613605423,Dec 2015,2015,"12","2015","Dec","Dry"
"48","2016/01",0.718334129092208,Jan 2016,2016,"01","2016","Jan","Dry"
"49","2016/02",0.585833328261817,Feb 2016,2016,"02","2016","Feb","Dry"
"50","2016/03",0.586380983043459,Mar 2016,2016,"03","2016","Mar","Dry"
"51","2016/04",0.478105463503303,Apr 2016,2016,"04","2016","Apr","Dry"
"52","2016/05",0.553033578183402,May 2016,2016,"05","2016","May","Dry"
"53","2016/06",0.612457398746875,Jun 2016,2016,"06","2016","Jun","Wet"
"54","2016/07",0.59938136331625,Jul 2016,2016,"07","2016","Jul","Wet"
"55","2016/08",0.606798794624564,Aug 2016,2016,"08","2016","Aug","Wet"
"56","2016/09",0.652201971546356,Sep 2016,2016,"09","2016","Sep","Wet"
"57","2016/10",0.638727229311549,Oct 2016,2016,"10","2016","Oct","Wet"
"58","2016/11",0.648865557061825,Nov 2016,2016,"11","2016","Nov","Dry"
"59","2016/12",0.57747744292053,Dec 2016,2016,"12","2016","Dec","Dry"
"60","2017/01",0.625175216983805,Jan 2017,2017,"01","2017","Jan","Dry"
"61","2017/02",0.364217601742665,Feb 2017,2017,"02","2017","Feb","Dry"
"62","2017/03",0.434798690708412,Mar 2017,2017,"03","2017","Mar","Dry"
"63","2017/04",0.38126138609288,Apr 2017,2017,"04","2017","Apr","Dry"
"64","2017/05",0.452905411694054,May 2017,2017,"05","2017","May","Dry"
"65","2017/06",0.463690496521038,Jun 2017,2017,"06","2017","Jun","Wet"
"66","2017/07",0.47456718670172,Jul 2017,2017,"07","2017","Jul","Wet"
"67","2017/08",0.435699451419692,Aug 2017,2017,"08","2017","Aug","Wet"
"68","2017/09",0.471010144455253,Sep 2017,2017,"09","2017","Sep","Wet"
"69","2017/10",0.646342893416297,Oct 2017,2017,"10","2017","Oct","Wet"
"70","2017/11",0.707373411541765,Nov 2017,2017,"11","2017","Nov","Dry"
"71","2017/12",0.626571754419286,Dec 2017,2017,"12","2017","Dec","Dry"
"72","2018/01",0.590306527996731,Jan 2018,2018,"01","2018","Jan","Dry"
"73","2018/02",0.528824459803022,Feb 2018,2018,"02","2018","Feb","Dry"
"74","2018/03",0.545748576335872,Mar 2018,2018,"03","2018","Mar","Dry"
"75","2018/04",0.390495068932846,Apr 2018,2018,"04","2018","Apr","Dry"
"76","2018/05",0.397536117720644,May 2018,2018,"05","2018","May","Dry"
"77","2018/06",0.513907963033634,Jun 2018,2018,"06","2018","Jun","Wet"
"78","2018/07",0.654416826892729,Jul 2018,2018,"07","2018","Jul","Wet"
"79","2018/08",0.696731636640372,Aug 2018,2018,"08","2018","Aug","Wet"
"80","2018/09",0.658672362262747,Sep 2018,2018,"09","2018","Sep","Wet"
"81","2018/10",0.678868542876954,Oct 2018,2018,"10","2018","Oct","Wet"
"82","2018/11",0.599820766259331,Nov 2018,2018,"11","2018","Nov","Dry"
"83","2018/12",0.579714560711816,Dec 2018,2018,"12","2018","Dec","Dry"
"84","2019/01",0.5414500502073,Jan 2019,2019,"01","2019","Jan","Dry"
"85","2019/02",0.528417881815762,Feb 2019,2019,"02","2019","Feb","Dry"
"86","2019/03",0.589501845990304,Mar 2019,2019,"03","2019","Mar","Dry"
"87","2019/04",0.507074537753046,Apr 2019,2019,"04","2019","Apr","Dry"
"88","2019/05",0.548753202258929,May 2019,2019,"05","2019","May","Dry"
"89","2019/06",0.568511000319802,Jun 2019,2019,"06","2019","Jun","Wet"
"90","2019/07",0.599328712631569,Jul 2019,2019,"07","2019","Jul","Wet"
"91","2019/08",0.652999909237219,Aug 2019,2019,"08","2019","Aug","Wet"
"92","2019/09",0.627013015524373,Sep 2019,2019,"09","2019","Sep","Wet"
"93","2019/10",0.663772044237126,Oct 2019,2019,"10","2019","Oct","Wet"
"94","2019/11",0.645648059992072,Nov 2019,2019,"11","2019","Nov","Dry"
"95","2019/12",0.659921764581882,Dec 2019,2019,"12","2019","Dec","Dry"
"96","2020/01",0.600266148382452,Jan 2020,2020,"01","2020","Jan","Dry"
"97","2020/02",0.564286421750468,Feb 2020,2020,"02","2020","Feb","Dry"
"98","2020/03",0.563609396161781,Mar 2020,2020,"03","2020","Mar","Dry"
"99","2020/04",0.570807629586127,Apr 2020,2020,"04","2020","Apr","Dry"
"100","2020/05",0.374253291852145,May 2020,2020,"05","2020","May","Dry"
"101","2020/06",0.475229859519968,Jun 2020,2020,"06","2020","Jun","Wet"
"102","2020/07",0.50247202670825,Jul 2020,2020,"07","2020","Jul","Wet"
"103","2020/08",0.602673967976673,Aug 2020,2020,"08","2020","Aug","Wet"
"104","2020/09",0.502615173479448,Sep 2020,2020,"09","2020","Sep","Wet"
"105","2020/10",0.424151601092527,Oct 2020,2020,"10","2020","Oct","Wet"
"106","2020/11",0.658330563844933,Nov 2020,2020,"11","2020","Nov","Dry"
"107","2020/12",0.653777986664551,Dec 2020,2020,"12","2020","Dec","Dry"
"108","2021/01",0.468281695569991,Jan 2021,2021,"01","2021","Jan","Dry"
"109","2021/02",0.400664758448954,Feb 2021,2021,"02","2021","Feb","Dry"
"110","2021/03",0.56159166923132,Mar 2021,2021,"03","2021","Mar","Dry"
"111","2021/04",0.467220082520939,Apr 2021,2021,"04","2021","Apr","Dry"
"112","2021/05",0.346715376364182,May 2021,2021,"05","2021","May","Dry"
"113","2021/06",0.43413873765671,Jun 2021,2021,"06","2021","Jun","Wet"
"114","2021/07",0.60718190640373,Jul 2021,2021,"07","2021","Jul","Wet"
"115","2021/08",0.670774728632548,Aug 2021,2021,"08","2021","Aug","Wet"
