year,ID,source,mean
2019,92,Estuarine,0.074
2019,92,Freshwater,0.914
2019,92,Seagrass,0.012
2020,93,Estuarine,0.05
2020,93,Freshwater,0.939
2020,93,Seagrass,0.01
2020,94,Estuarine,0.054
2020,94,Freshwater,0.938
2020,94,Seagrass,0.009
2020,95,Estuarine,0.814
2020,95,Freshwater,0.172
2020,95,Seagrass,0.015
2020,96,Estuarine,0.098
2020,96,Freshwater,0.848
2020,96,Seagrass,0.054
2020,97,Estuarine,0.05
2020,97,Freshwater,0.941
2020,97,Seagrass,0.009
2020,98,Estuarine,0.104
2020,98,Freshwater,0.873
2020,98,Seagrass,0.022
2020,99,Estuarine,0.611
2020,99,Freshwater,0.078
2020,99,Seagrass,0.311
2020,100,Estuarine,0.943
2020,100,Freshwater,0.05
2020,100,Seagrass,0.007
2020,101,Estuarine,0.276
2020,101,Freshwater,0.217
2020,101,Seagrass,0.507
2020,102,Estuarine,0.082
2020,102,Freshwater,0.894
2020,102,Seagrass,0.024
2021,103,Estuarine,0.031
2021,103,Freshwater,0.929
2021,103,Seagrass,0.04
2021,104,Estuarine,0.013
2021,104,Freshwater,0.982
2021,104,Seagrass,0.005
2021,105,Estuarine,0.022
2021,105,Freshwater,0.95
2021,105,Seagrass,0.028
2021,106,Estuarine,0.032
2021,106,Freshwater,0.956
2021,106,Seagrass,0.011
2022,107,Estuarine,0.026
2022,107,Freshwater,0.959
2022,107,Seagrass,0.015
2022,111,Estuarine,0.017
2022,111,Freshwater,0.972
2022,111,Seagrass,0.011
2022,112,Estuarine,0.063
2022,112,Freshwater,0.899
2022,112,Seagrass,0.038
2022,113,Estuarine,0.027
2022,113,Freshwater,0.838
2022,113,Seagrass,0.135
