date,year,month,day,month_long,month_short,median_navd88_ft,stage_cm,season
2000-02-20,2000,02,20,February,Feb,0.97,39.3192,dry
2000-02-21,2000,02,21,February,Feb,0.96,39.0144,dry
2000-02-22,2000,02,22,February,Feb,0.94,38.4048,dry
2000-02-23,2000,02,23,February,Feb,0.92,37.7952,dry
2000-02-24,2000,02,24,February,Feb,0.91,37.4904,dry
2000-02-25,2000,02,25,February,Feb,0.9,37.1856,dry
2000-02-26,2000,02,26,February,Feb,0.88,36.576,dry
2000-02-27,2000,02,27,February,Feb,0.86,35.9664,dry
2000-02-28,2000,02,28,February,Feb,0.86,35.9664,dry
2000-02-29,2000,02,29,February,Feb,0.84,35.3568,dry
2000-03-01,2000,03,01,March,Mar,0.84,35.3568,dry
2000-03-02,2000,03,02,March,Mar,0.82,34.7472,dry
2000-03-03,2000,03,03,March,Mar,0.82,34.7472,dry
2000-03-04,2000,03,04,March,Mar,0.8,34.137600000000006,dry
2000-03-05,2000,03,05,March,Mar,0.79,33.832800000000006,dry
2000-03-06,2000,03,06,March,Mar,0.77,33.223200000000006,dry
2000-03-07,2000,03,07,March,Mar,0.75,32.613600000000005,dry
2000-03-08,2000,03,08,March,Mar,0.73,32.004000000000005,dry
2000-03-09,2000,03,09,March,Mar,0.72,31.6992,dry
2000-03-10,2000,03,10,March,Mar,0.71,31.3944,dry
2000-03-11,2000,03,11,March,Mar,0.7,31.0896,dry
2000-03-12,2000,03,12,March,Mar,0.73,32.004000000000005,dry
2000-03-13,2000,03,13,March,Mar,0.71,31.3944,dry
2000-03-14,2000,03,14,March,Mar,0.68,30.48,dry
2000-03-15,2000,03,15,March,Mar,0.65,29.5656,dry
2000-03-16,2000,03,16,March,Mar,0.63,28.956,dry
2000-03-17,2000,03,17,March,Mar,0.62,28.6512,dry
2000-03-18,2000,03,18,March,Mar,0.61,28.3464,dry
2000-03-19,2000,03,19,March,Mar,0.7,31.0896,dry
2000-03-20,2000,03,20,March,Mar,0.66,29.8704,dry
2000-03-21,2000,03,21,March,Mar,0.64,29.2608,dry
2000-03-22,2000,03,22,March,Mar,0.62,28.6512,dry
2000-03-23,2000,03,23,March,Mar,0.59,27.7368,dry
2000-03-24,2000,03,24,March,Mar,0.57,27.1272,dry
2000-03-25,2000,03,25,March,Mar,0.54,26.212800000000005,dry
2000-03-26,2000,03,26,March,Mar,0.51,25.2984,dry
2000-03-27,2000,03,27,March,Mar,0.49,24.6888,dry
2000-03-28,2000,03,28,March,Mar,0.51,25.2984,dry
2000-03-29,2000,03,29,March,Mar,0.51,25.2984,dry
2000-03-30,2000,03,30,March,Mar,0.5,24.9936,dry
2000-03-31,2000,03,31,March,Mar,0.47,24.0792,dry
2000-04-01,2000,04,01,April,Apr,0.45,23.4696,dry
2000-04-02,2000,04,02,April,Apr,0.41,22.2504,dry
2000-04-03,2000,04,03,April,Apr,0.37,21.0312,dry
2000-04-04,2000,04,04,April,Apr,0.35,20.421599999999998,dry
2000-04-05,2000,04,05,April,Apr,0.32,19.5072,dry
2000-04-06,2000,04,06,April,Apr,0.3,18.8976,dry
2000-04-07,2000,04,07,April,Apr,0.28,18.288000000000004,dry
2000-04-08,2000,04,08,April,Apr,0.27,17.983200000000004,dry
2000-04-09,2000,04,09,April,Apr,0.25,17.373600000000003,dry
2000-04-10,2000,04,10,April,Apr,0.2,15.8496,dry
2000-04-11,2000,04,11,April,Apr,0.17,14.9352,dry
2000-04-12,2000,04,12,April,Apr,0.15,14.3256,dry
2000-04-13,2000,04,13,April,Apr,0.14,14.020800000000001,dry
2000-04-14,2000,04,14,April,Apr,0.24,17.068800000000003,dry
2000-04-15,2000,04,15,April,Apr,0.3,18.8976,dry
2000-04-16,2000,04,16,April,Apr,0.3,18.8976,dry
2000-04-17,2000,04,17,April,Apr,0.29,18.5928,dry
2000-04-18,2000,04,18,April,Apr,0.27,17.983200000000004,dry
2000-04-19,2000,04,19,April,Apr,0.25,17.373600000000003,dry
2000-04-20,2000,04,20,April,Apr,0.22,16.459200000000003,dry
2000-04-21,2000,04,21,April,Apr,0.2,15.8496,dry
2000-04-22,2000,04,22,April,Apr,0.17,14.9352,dry
2000-04-23,2000,04,23,April,Apr,0.16,14.6304,dry
2000-04-24,2000,04,24,April,Apr,0.12,13.411200000000001,dry
2000-04-25,2000,04,25,April,Apr,0.1,12.8016,dry
2000-04-26,2000,04,26,April,Apr,0.09,12.4968,dry
2000-04-27,2000,04,27,April,Apr,0.06,11.5824,dry
2000-04-28,2000,04,28,April,Apr,0.03,10.668,dry
2000-04-29,2000,04,29,April,Apr,0.01,10.0584,dry
2000-04-30,2000,04,30,April,Apr,-0.01,9.4488,dry
2000-05-01,2000,05,01,May,May,-0.04,8.534400000000002,dry
2000-05-02,2000,05,02,May,May,-0.07,7.62,dry
2000-05-03,2000,05,03,May,May,-0.09,7.010400000000001,dry
2000-05-04,2000,05,04,May,May,-0.11,6.4008,dry
2000-05-05,2000,05,05,May,May,-0.13,5.7912,dry
2000-05-06,2000,05,06,May,May,-0.15,5.1816,dry
2000-05-07,2000,05,07,May,May,-0.16,4.8768,dry
2000-05-08,2000,05,08,May,May,-0.12,6.096,dry
2000-05-09,2000,05,09,May,May,0.13,13.716000000000001,dry
2000-05-10,2000,05,10,May,May,0.13,13.716000000000001,dry
2000-05-11,2000,05,11,May,May,0.18,15.24,dry
2000-05-12,2000,05,12,May,May,0.18,15.24,dry
2000-05-13,2000,05,13,May,May,0.14,14.020800000000001,dry
2000-05-14,2000,05,14,May,May,0.12,13.411200000000001,dry
2000-05-15,2000,05,15,May,May,0.09,12.4968,dry
2000-05-16,2000,05,16,May,May,0.06,11.5824,dry
2000-05-17,2000,05,17,May,May,0.03,10.668,dry
2000-05-18,2000,05,18,May,May,-0.01,9.4488,dry
2000-05-19,2000,05,19,May,May,-0.04,8.534400000000002,dry
2000-05-20,2000,05,20,May,May,-0.08,7.3152,dry
2000-05-21,2000,05,21,May,May,-0.11,6.4008,dry
2000-05-22,2000,05,22,May,May,-0.13,5.7912,dry
2000-05-23,2000,05,23,May,May,-0.14,5.4864,dry
2000-05-24,2000,05,24,May,May,-0.16,4.8768,dry
2000-05-25,2000,05,25,May,May,-0.19,3.9624,dry
2000-05-26,2000,05,26,May,May,-0.19,3.9624,dry
2000-05-27,2000,05,27,May,May,-0.18,4.267200000000001,dry
2000-05-28,2000,05,28,May,May,-0.17,4.572,dry
2000-05-29,2000,05,29,May,May,-0.14,5.4864,dry
2000-05-30,2000,05,30,May,May,-0.15,5.1816,dry
2000-05-31,2000,05,31,May,May,-0.14,5.4864,dry
2000-06-01,2000,06,01,June,Jun,-0.12,6.096,wet
2000-06-02,2000,06,02,June,Jun,-0.08,7.3152,wet
2000-06-03,2000,06,03,June,Jun,0.04,10.9728,wet
2000-06-04,2000,06,04,June,Jun,0.1,12.8016,wet
2000-06-05,2000,06,05,June,Jun,0.3,18.8976,wet
2000-06-06,2000,06,06,June,Jun,0.34,20.1168,wet
2000-06-07,2000,06,07,June,Jun,0.37,21.0312,wet
2000-06-08,2000,06,08,June,Jun,0.37,21.0312,wet
2000-06-09,2000,06,09,June,Jun,0.49,24.6888,wet
2000-06-10,2000,06,10,June,Jun,0.52,25.6032,wet
2000-06-11,2000,06,11,June,Jun,0.53,25.908000000000005,wet
2000-06-12,2000,06,12,June,Jun,0.56,26.822400000000005,wet
2000-06-13,2000,06,13,June,Jun,0.56,26.822400000000005,wet
2000-06-14,2000,06,14,June,Jun,0.54,26.212800000000005,wet
2000-06-15,2000,06,15,June,Jun,0.52,25.6032,wet
2000-06-16,2000,06,16,June,Jun,0.5,24.9936,wet
2000-06-17,2000,06,17,June,Jun,0.48,24.384,wet
2000-06-18,2000,06,18,June,Jun,0.45,23.4696,wet
2000-06-19,2000,06,19,June,Jun,0.43,22.86,wet
2000-06-20,2000,06,20,June,Jun,0.41,22.2504,wet
2000-06-21,2000,06,21,June,Jun,0.41,22.2504,wet
2000-06-22,2000,06,22,June,Jun,0.43,22.86,wet
2000-06-23,2000,06,23,June,Jun,0.46,23.7744,wet
2000-06-24,2000,06,24,June,Jun,0.46,23.7744,wet
2000-06-25,2000,06,25,June,Jun,0.47,24.0792,wet
2000-06-26,2000,06,26,June,Jun,0.47,24.0792,wet
2000-06-27,2000,06,27,June,Jun,0.47,24.0792,wet
2000-06-28,2000,06,28,June,Jun,0.46,23.7744,wet
2000-06-29,2000,06,29,June,Jun,0.44,23.1648,wet
2000-06-30,2000,06,30,June,Jun,0.42,22.5552,wet
2000-07-01,2000,07,01,July,Jul,0.4,21.9456,wet
2000-07-02,2000,07,02,July,Jul,0.4,21.9456,wet
2000-07-03,2000,07,03,July,Jul,0.44,23.1648,wet
2000-07-04,2000,07,04,July,Jul,0.5,24.9936,wet
2000-07-05,2000,07,05,July,Jul,0.64,29.2608,wet
2000-07-06,2000,07,06,July,Jul,0.65,29.5656,wet
2000-07-07,2000,07,07,July,Jul,0.67,30.1752,wet
2000-07-08,2000,07,08,July,Jul,0.67,30.1752,wet
2000-07-09,2000,07,09,July,Jul,0.65,29.5656,wet
2000-07-10,2000,07,10,July,Jul,0.63,28.956,wet
2000-07-11,2000,07,11,July,Jul,0.61,28.3464,wet
2000-07-12,2000,07,12,July,Jul,0.61,28.3464,wet
2000-07-13,2000,07,13,July,Jul,0.61,28.3464,wet
2000-07-14,2000,07,14,July,Jul,0.61,28.3464,wet
2000-07-15,2000,07,15,July,Jul,0.6,28.0416,wet
2000-07-16,2000,07,16,July,Jul,0.59,27.7368,wet
2000-07-17,2000,07,17,July,Jul,0.58,27.432,wet
2000-07-18,2000,07,18,July,Jul,0.56,26.822400000000005,wet
2000-07-19,2000,07,19,July,Jul,0.53,25.908000000000005,wet
2000-07-20,2000,07,20,July,Jul,0.49,24.6888,wet
2000-07-21,2000,07,21,July,Jul,0.46,23.7744,wet
2000-07-22,2000,07,22,July,Jul,0.44,23.1648,wet
2000-07-23,2000,07,23,July,Jul,0.42,22.5552,wet
2000-07-24,2000,07,24,July,Jul,0.4,21.9456,wet
2000-07-25,2000,07,25,July,Jul,0.37,21.0312,wet
2000-07-26,2000,07,26,July,Jul,0.35,20.421599999999998,wet
2000-07-27,2000,07,27,July,Jul,0.35,20.421599999999998,wet
2000-07-28,2000,07,28,July,Jul,0.35,20.421599999999998,wet
2000-07-29,2000,07,29,July,Jul,0.36,20.726399999999998,wet
2000-07-30,2000,07,30,July,Jul,0.4,21.9456,wet
2000-07-31,2000,07,31,July,Jul,0.43,22.86,wet
2000-08-01,2000,08,01,August,Aug,0.46,23.7744,wet
2000-08-02,2000,08,02,August,Aug,0.66,29.8704,wet
2000-08-03,2000,08,03,August,Aug,0.76,32.918400000000005,wet
2000-08-04,2000,08,04,August,Aug,0.83,35.052,wet
2000-08-05,2000,08,05,August,Aug,0.83,35.052,wet
2000-08-06,2000,08,06,August,Aug,0.84,35.3568,wet
2000-08-07,2000,08,07,August,Aug,0.84,35.3568,wet
2000-08-08,2000,08,08,August,Aug,0.8,34.137600000000006,wet
2000-08-09,2000,08,09,August,Aug,0.76,32.918400000000005,wet
2000-08-10,2000,08,10,August,Aug,0.74,32.308800000000005,wet
2000-08-11,2000,08,11,August,Aug,0.82,34.7472,wet
2000-08-12,2000,08,12,August,Aug,0.79,33.832800000000006,wet
2000-08-13,2000,08,13,August,Aug,0.76,32.918400000000005,wet
2000-08-14,2000,08,14,August,Aug,0.74,32.308800000000005,wet
2000-08-15,2000,08,15,August,Aug,0.72,31.6992,wet
2000-08-16,2000,08,16,August,Aug,0.72,31.6992,wet
2000-08-17,2000,08,17,August,Aug,0.7,31.0896,wet
2000-08-18,2000,08,18,August,Aug,0.68,30.48,wet
2000-08-19,2000,08,19,August,Aug,0.67,30.1752,wet
2000-08-20,2000,08,20,August,Aug,0.66,29.8704,wet
2000-08-21,2000,08,21,August,Aug,0.66,29.8704,wet
2000-08-22,2000,08,22,August,Aug,0.66,29.8704,wet
2000-08-23,2000,08,23,August,Aug,0.64,29.2608,wet
2000-08-24,2000,08,24,August,Aug,0.62,28.6512,wet
2000-08-25,2000,08,25,August,Aug,0.6,28.0416,wet
2000-08-26,2000,08,26,August,Aug,0.6,28.0416,wet
2000-08-27,2000,08,27,August,Aug,0.59,27.7368,wet
2000-08-28,2000,08,28,August,Aug,0.58,27.432,wet
2000-08-29,2000,08,29,August,Aug,0.58,27.432,wet
2000-08-30,2000,08,30,August,Aug,0.57,27.1272,wet
2000-08-31,2000,08,31,August,Aug,0.59,27.7368,wet
2000-09-01,2000,09,01,September,Sep,0.61,28.3464,wet
2000-09-02,2000,09,02,September,Sep,0.58,27.432,wet
2000-09-03,2000,09,03,September,Sep,0.56,26.822400000000005,wet
2000-09-04,2000,09,04,September,Sep,0.53,25.908000000000005,wet
2000-09-05,2000,09,05,September,Sep,0.5,24.9936,wet
2000-09-06,2000,09,06,September,Sep,0.47,24.0792,wet
2000-09-07,2000,09,07,September,Sep,0.46,23.7744,wet
2000-09-08,2000,09,08,September,Sep,0.49,24.6888,wet
2000-09-09,2000,09,09,September,Sep,0.59,27.7368,wet
2000-09-10,2000,09,10,September,Sep,0.56,26.822400000000005,wet
2000-09-11,2000,09,11,September,Sep,0.55,26.517600000000005,wet
2000-09-12,2000,09,12,September,Sep,0.62,28.6512,wet
2000-09-13,2000,09,13,September,Sep,0.71,31.3944,wet
2000-09-14,2000,09,14,September,Sep,0.73,32.004000000000005,wet
2000-09-15,2000,09,15,September,Sep,0.73,32.004000000000005,wet
2000-09-16,2000,09,16,September,Sep,0.9,37.1856,wet
2000-09-17,2000,09,17,September,Sep,0.9,37.1856,wet
2000-09-18,2000,09,18,September,Sep,0.97,39.3192,wet
2000-09-19,2000,09,19,September,Sep,0.95,38.7096,wet
2000-09-20,2000,09,20,September,Sep,0.97,39.3192,wet
2000-09-21,2000,09,21,September,Sep,0.97,39.3192,wet
2000-09-22,2000,09,22,September,Sep,0.94,38.4048,wet
2000-09-23,2000,09,23,September,Sep,0.9,37.1856,wet
2000-09-24,2000,09,24,September,Sep,0.87,36.2712,wet
2000-09-25,2000,09,25,September,Sep,0.84,35.3568,wet
2000-09-26,2000,09,26,September,Sep,0.81,34.442400000000006,wet
2000-09-27,2000,09,27,September,Sep,0.82,34.7472,wet
2000-09-28,2000,09,28,September,Sep,0.96,39.0144,wet
2000-09-29,2000,09,29,September,Sep,0.92,37.7952,wet
2000-09-30,2000,09,30,September,Sep,1.03,41.148,wet
2000-10-01,2000,10,01,October,Oct,0.96,39.0144,wet
2000-10-02,2000,10,02,October,Oct,0.92,37.7952,wet
2000-10-03,2000,10,03,October,Oct,1.04,41.4528,wet
2000-10-04,2000,10,04,October,Oct,1.88,67.056,wet
2000-10-05,2000,10,05,October,Oct,1.98,70.104,wet
2000-10-06,2000,10,06,October,Oct,2.03,71.62799999999999,wet
2000-10-07,2000,10,07,October,Oct,2.02,71.3232,wet
2000-10-08,2000,10,08,October,Oct,1.96,69.4944,wet
2000-10-09,2000,10,09,October,Oct,1.89,67.3608,wet
2000-10-10,2000,10,10,October,Oct,1.82,65.22720000000001,wet
2000-10-11,2000,10,11,October,Oct,1.75,63.093599999999995,wet
2000-10-12,2000,10,12,October,Oct,1.69,61.264799999999994,wet
2000-10-13,2000,10,13,October,Oct,1.63,59.436,wet
2000-10-14,2000,10,14,October,Oct,1.58,57.912000000000006,wet
2000-10-15,2000,10,15,October,Oct,1.53,56.388000000000005,wet
2000-10-16,2000,10,16,October,Oct,1.48,54.864000000000004,wet
2000-10-17,2000,10,17,October,Oct,1.44,53.644800000000004,wet
2000-10-18,2000,10,18,October,Oct,1.4,52.4256,wet
2000-10-19,2000,10,19,October,Oct,1.36,51.2064,wet
2000-10-20,2000,10,20,October,Oct,1.33,50.292,wet
2000-10-21,2000,10,21,October,Oct,1.3,49.3776,wet
2000-10-22,2000,10,22,October,Oct,1.26,48.1584,wet
2000-10-23,2000,10,23,October,Oct,1.22,46.9392,wet
2000-10-24,2000,10,24,October,Oct,1.18,45.72,wet
2000-10-25,2000,10,25,October,Oct,1.15,44.8056,wet
2000-10-26,2000,10,26,October,Oct,1.13,44.196,wet
2000-10-27,2000,10,27,October,Oct,1.11,43.586400000000005,wet
2000-10-28,2000,10,28,October,Oct,1.1,43.281600000000005,wet
2000-10-29,2000,10,29,October,Oct,1.07,42.367200000000004,wet
2000-10-30,2000,10,30,October,Oct,1.05,41.757600000000004,wet
2000-10-31,2000,10,31,October,Oct,1.02,40.8432,wet
2000-11-01,2000,11,01,November,Nov,0.99,39.9288,wet
2000-11-02,2000,11,02,November,Nov,0.97,39.3192,wet
2000-11-03,2000,11,03,November,Nov,0.94,38.4048,wet
2000-11-04,2000,11,04,November,Nov,0.91,37.4904,wet
2000-11-05,2000,11,05,November,Nov,0.89,36.8808,wet
2000-11-06,2000,11,06,November,Nov,0.88,36.576,wet
2000-11-07,2000,11,07,November,Nov,0.87,36.2712,wet
2000-11-08,2000,11,08,November,Nov,0.85,35.6616,wet
2000-11-09,2000,11,09,November,Nov,0.83,35.052,wet
2000-11-10,2000,11,10,November,Nov,0.82,34.7472,wet
2000-11-11,2000,11,11,November,Nov,0.82,34.7472,wet
2000-11-12,2000,11,12,November,Nov,0.82,34.7472,wet
2000-11-13,2000,11,13,November,Nov,0.8,34.137600000000006,wet
2000-11-14,2000,11,14,November,Nov,0.8,34.137600000000006,wet
2000-11-15,2000,11,15,November,Nov,0.79,33.832800000000006,wet
2000-11-16,2000,11,16,November,Nov,0.77,33.223200000000006,wet
2000-11-17,2000,11,17,November,Nov,0.76,32.918400000000005,wet
2000-11-18,2000,11,18,November,Nov,0.75,32.613600000000005,wet
2000-11-19,2000,11,19,November,Nov,0.74,32.308800000000005,wet
2000-11-20,2000,11,20,November,Nov,0.73,32.004000000000005,wet
2000-11-21,2000,11,21,November,Nov,0.72,31.6992,wet
2000-11-22,2000,11,22,November,Nov,0.69,30.7848,wet
2000-11-23,2000,11,23,November,Nov,0.67,30.1752,wet
2000-11-24,2000,11,24,November,Nov,0.66,29.8704,wet
2000-11-25,2000,11,25,November,Nov,0.65,29.5656,wet
2000-11-26,2000,11,26,November,Nov,0.66,29.8704,wet
2000-11-27,2000,11,27,November,Nov,0.66,29.8704,wet
2000-11-28,2000,11,28,November,Nov,0.66,29.8704,wet
2000-11-29,2000,11,29,November,Nov,0.65,29.5656,wet
2000-11-30,2000,11,30,November,Nov,0.65,29.5656,wet
2000-12-01,2000,12,01,December,Dec,0.64,29.2608,dry
2000-12-02,2000,12,02,December,Dec,0.63,28.956,dry
2000-12-03,2000,12,03,December,Dec,0.62,28.6512,dry
2000-12-04,2000,12,04,December,Dec,0.62,28.6512,dry
2000-12-05,2000,12,05,December,Dec,0.6,28.0416,dry
2000-12-06,2000,12,06,December,Dec,0.59,27.7368,dry
2000-12-07,2000,12,07,December,Dec,0.57,27.1272,dry
2000-12-08,2000,12,08,December,Dec,0.57,27.1272,dry
2000-12-09,2000,12,09,December,Dec,0.57,27.1272,dry
2000-12-10,2000,12,10,December,Dec,0.56,26.822400000000005,dry
2000-12-11,2000,12,11,December,Dec,0.62,28.6512,dry
2000-12-12,2000,12,12,December,Dec,0.63,28.956,dry
2000-12-13,2000,12,13,December,Dec,0.66,29.8704,dry
2000-12-14,2000,12,14,December,Dec,0.66,29.8704,dry
2000-12-15,2000,12,15,December,Dec,0.66,29.8704,dry
2000-12-16,2000,12,16,December,Dec,0.65,29.5656,dry
2000-12-17,2000,12,17,December,Dec,0.65,29.5656,dry
2000-12-18,2000,12,18,December,Dec,0.63,28.956,dry
2000-12-19,2000,12,19,December,Dec,0.62,28.6512,dry
2000-12-20,2000,12,20,December,Dec,0.61,28.3464,dry
2000-12-21,2000,12,21,December,Dec,0.59,27.7368,dry
2000-12-22,2000,12,22,December,Dec,0.58,27.432,dry
2000-12-23,2000,12,23,December,Dec,0.56,26.822400000000005,dry
2000-12-24,2000,12,24,December,Dec,0.55,26.517600000000005,dry
2000-12-25,2000,12,25,December,Dec,0.54,26.212800000000005,dry
2000-12-26,2000,12,26,December,Dec,0.53,25.908000000000005,dry
2000-12-27,2000,12,27,December,Dec,0.51,25.2984,dry
2000-12-28,2000,12,28,December,Dec,0.51,25.2984,dry
2000-12-29,2000,12,29,December,Dec,0.51,25.2984,dry
2000-12-30,2000,12,30,December,Dec,0.51,25.2984,dry
2000-12-31,2000,12,31,December,Dec,0.5,24.9936,dry
2001-01-01,2001,01,01,January,Jan,0.48,24.384,dry
2001-01-02,2001,01,02,January,Jan,0.47,24.0792,dry
2001-01-03,2001,01,03,January,Jan,0.46,23.7744,dry
2001-01-04,2001,01,04,January,Jan,0.45,23.4696,dry
2001-01-05,2001,01,05,January,Jan,0.44,23.1648,dry
2001-01-06,2001,01,06,January,Jan,0.42,22.5552,dry
2001-01-07,2001,01,07,January,Jan,0.42,22.5552,dry
2001-01-08,2001,01,08,January,Jan,0.4,21.9456,dry
2001-01-09,2001,01,09,January,Jan,0.4,21.9456,dry
2001-01-10,2001,01,10,January,Jan,0.39,21.6408,dry
2001-01-11,2001,01,11,January,Jan,0.36,20.726399999999998,dry
2001-01-12,2001,01,12,January,Jan,0.35,20.421599999999998,dry
2001-01-13,2001,01,13,January,Jan,0.34,20.1168,dry
2001-01-14,2001,01,14,January,Jan,0.33,19.812,dry
2001-01-15,2001,01,15,January,Jan,0.3,18.8976,dry
2001-01-16,2001,01,16,January,Jan,0.28,18.288000000000004,dry
2001-01-17,2001,01,17,January,Jan,0.27,17.983200000000004,dry
2001-01-18,2001,01,18,January,Jan,0.26,17.678400000000003,dry
2001-01-19,2001,01,19,January,Jan,0.24,17.068800000000003,dry
2001-01-20,2001,01,20,January,Jan,0.23,16.764000000000003,dry
2001-01-21,2001,01,21,January,Jan,0.22,16.459200000000003,dry
2001-01-22,2001,01,22,January,Jan,0.21,16.154400000000003,dry
2001-01-23,2001,01,23,January,Jan,0.21,16.154400000000003,dry
2001-01-24,2001,01,24,January,Jan,0.19,15.5448,dry
2001-01-25,2001,01,25,January,Jan,0.16,14.6304,dry
2001-01-26,2001,01,26,January,Jan,0.14,14.020800000000001,dry
2001-01-27,2001,01,27,January,Jan,0.13,13.716000000000001,dry
2001-01-28,2001,01,28,January,Jan,0.11,13.1064,dry
2001-01-29,2001,01,29,January,Jan,0.1,12.8016,dry
2001-01-30,2001,01,30,January,Jan,0.09,12.4968,dry
2001-01-31,2001,01,31,January,Jan,0.07,11.8872,dry
2001-02-01,2001,02,01,February,Feb,0.06,11.5824,dry
2001-02-02,2001,02,02,February,Feb,0.04,10.9728,dry
2001-02-03,2001,02,03,February,Feb,0.01,10.0584,dry
2001-02-04,2001,02,04,February,Feb,-0.01,9.4488,dry
2001-02-05,2001,02,05,February,Feb,-0.02,9.144,dry
2001-02-06,2001,02,06,February,Feb,-0.05,8.229600000000001,dry
2001-02-07,2001,02,07,February,Feb,-0.07,7.62,dry
2001-02-08,2001,02,08,February,Feb,-0.08,7.3152,dry
2001-02-09,2001,02,09,February,Feb,-0.1,6.7056000000000004,dry
2001-02-10,2001,02,10,February,Feb,-0.11,6.4008,dry
2001-02-11,2001,02,11,February,Feb,-0.12,6.096,dry
2001-02-12,2001,02,12,February,Feb,-0.14,5.4864,dry
2001-02-13,2001,02,13,February,Feb,-0.15,5.1816,dry
2001-02-14,2001,02,14,February,Feb,-0.16,4.8768,dry
2001-02-15,2001,02,15,February,Feb,-0.16,4.8768,dry
2001-02-16,2001,02,16,February,Feb,-0.17,4.572,dry
2001-02-17,2001,02,17,February,Feb,-0.18,4.267200000000001,dry
2001-02-18,2001,02,18,February,Feb,-0.2,3.6576,dry
2001-02-19,2001,02,19,February,Feb,-0.22,3.048,dry
2001-02-20,2001,02,20,February,Feb,-0.23,2.7432,dry
2001-02-21,2001,02,21,February,Feb,-0.24,2.4384000000000006,dry
2001-02-22,2001,02,22,February,Feb,-0.25,2.1336000000000004,dry
2001-02-23,2001,02,23,February,Feb,-0.27,1.5239999999999996,dry
2001-02-24,2001,02,24,February,Feb,-0.29,0.9144000000000009,dry
2001-02-25,2001,02,25,February,Feb,-0.31,0.3048000000000003,dry
2001-02-26,2001,02,26,February,Feb,-0.33,-0.3048000000000003,dry
2001-02-27,2001,02,27,February,Feb,-0.33,-0.3048000000000003,dry
2001-02-28,2001,02,28,February,Feb,-0.32,0,dry
2001-03-01,2001,03,01,March,Mar,-0.33,-0.3048000000000003,dry
