,Year.Month,Eadj,fYear.Month,Year,Month,fYear,fMonth,wYear,Season
84,2019/01,0.54145005,Jan-19,2019,1,2019,Jan,2018,Dry
85,2019/02,0.528417882,Feb-19,2019,2,2019,Feb,2018,Dry
86,2019/03,0.589501846,Mar-19,2019,3,2019,Mar,2018,Dry
87,2019/04,0.507074538,Apr-19,2019,4,2019,Apr,2018,Dry
88,2019/05,0.548753202,May-19,2019,5,2019,May,2018,Dry
89,2019/06,0.568511,Jun-19,2019,6,2019,Jun,2019,Wet
90,2019/07,0.599328713,Jul-19,2019,7,2019,Jul,2019,Wet
91,2019/08,0.652999909,Aug-19,2019,8,2019,Aug,2019,Wet
92,2019/09,0.627013016,Sep-19,2019,9,2019,Sep,2019,Wet
93,2019/10,0.663772044,Oct-19,2019,10,2019,Oct,2019,Wet
94,2019/11,0.64564806,Nov-19,2019,11,2019,Nov,2019,Dry
95,2019/12,0.659921765,Dec-19,2019,12,2019,Dec,2019,Dry
96,2020/01,0.600266148,Jan-20,2020,1,2020,Jan,2019,Dry
97,2020/02,0.564286422,Feb-20,2020,2,2020,Feb,2019,Dry
98,2020/03,0.563609396,Mar-20,2020,3,2020,Mar,2019,Dry
99,2020/04,0.57080763,Apr-20,2020,4,2020,Apr,2019,Dry
100,2020/05,0.374253292,May-20,2020,5,2020,May,2019,Dry
101,2020/06,0.47522986,Jun-20,2020,6,2020,Jun,2020,Wet
102,2020/07,0.502472027,Jul-20,2020,7,2020,Jul,2020,Wet
103,2020/08,0.602673968,Aug-20,2020,8,2020,Aug,2020,Wet
104,2020/09,0.502615173,Sep-20,2020,9,2020,Sep,2020,Wet
105,2020/10,0.424151601,Oct-20,2020,10,2020,Oct,2020,Wet
106,2020/11,0.658330564,Nov-20,2020,11,2020,Nov,2020,Dry
107,2020/12,0.653777987,Dec-20,2020,12,2020,Dec,2020,Dry
108,2021/01,0.468281696,Jan-21,2021,1,2021,Jan,2020,Dry
109,2021/02,0.400664758,Feb-21,2021,2,2021,Feb,2020,Dry
110,2021/03,0.561591669,Mar-21,2021,3,2021,Mar,2020,Dry
111,2021/04,0.467220083,Apr-21,2021,4,2021,Apr,2020,Dry
112,2021/05,0.346715376,May-21,2021,5,2021,May,2020,Dry
113,2021/06,0.434138738,Jun-21,2021,6,2021,Jun,2021,Wet
114,2021/07,0.607181906,Jul-21,2021,7,2021,Jul,2021,Wet
115,2021/08,0.670774729,Aug-21,2021,8,2021,Aug,2021,Wet
